area,mask,images,flower_number,distance,imagej_area,flower_color,morphology,Notes
34.48091092,api/data/output/flower_0.5_6439766b-2f6a-472e-87ba-adb66193f551@2024-04-01@PXL_20240214_174053319_60cm_F13_.jpg,PXL_20240214_174053319_60cm_F13_.jpg,F13,60cm,35.9,T4,C3,
58.74306077,api/data/output/flower_0.5_907ff570-56f0-42ac-94b0-ad23beab1dc5@2024-04-01@PXL_20240214_174619635_100cm_F15_.jpg,PXL_20240214_174619635_100cm_F15_.jpg,F15,100cm,55.739,T4,C3,
4.671686747,api/data/output/flower_0.5_d83c9238-bbe9-473c-be45-d305e2541492@2024-04-01@PXL_20240214_175016038_100cm_F18_.jpg,PXL_20240214_175016038_100cm_F18_.jpg,F18,100cm,4.239,T2,C2,
5.212453066,api/data/output/flower_0.5_b25b101c-36d1-4cdb-b376-72a3305da435@2024-04-01@PXL_20240214_175122307_80cm_F19_.jpg,PXL_20240214_175122307_80cm_F19_.jpg,F19,80cm,5.149,T2,C2,
2.217579251,api/data/output/flower_0.5_4b0f3f3f-6e28-4217-8151-84dc2fd493ca@2024-04-01@PXL_20240214_174857541_100cm_F17_.jpg,PXL_20240214_174857541_100cm_F17_.jpg,F17,100cm,1.929,T2,C2,
14.81047166,api/data/output/flower_0.5_1eca3d73-d1a9-4d5b-9613-eaefe61c238d@2024-04-01@PXL_20240214_172902391_100cm_F7_.jpg,PXL_20240214_172902391_100cm_F7_.jpg,F7,100cm,12.958,T3,C2,Area is a little off
5.291554599,api/data/output/flower_0.5_11333e64-482f-4ec6-bd6a-0b7c534359f8@2024-04-01@PXL_20240214_171637048_100cm_F1_.jpg,PXL_20240214_171637048_100cm_F1_.jpg,F1,100cm,5.207,T1,C1,
18.84491624,api/data/output/flower_0.5_7eb0e98b-004e-42b2-8ac5-1800c385c654@2024-04-01@PXL_20240214_172812015_60cm_F7_.jpg,PXL_20240214_172812015_60cm_F7_.jpg,F7,60cm,18.595,T3,C2,
1.595461525,api/data/output/flower_0.5_b795aad3-619c-4606-b6c7-44f5879bfee9@2024-04-01@PXL_20240214_172005738_100cm_F3_.jpg,PXL_20240214_172005738_100cm_F3_.jpg,F3,100cm,1.531,T1,C1,
5.673267327,api/data/output/flower_0.5_c42e1962-9a6d-46cb-88e2-d94cd49cd61f@2024-04-01@PXL_20240214_171819047_100cm_F2_.jpg,PXL_20240214_171819047_100cm_F2_.jpg,F2,100cm,6.22,T1,C1,Area is a little off
2.88478582,api/data/output/flower_0.5_6b6002d8-1313-432e-8cea-858b9c127a90@2024-04-01@PXL_20240214_175600353_100cm_F22_.jpg,PXL_20240214_175600353_100cm_F22_.jpg,F22,100cm,2.897,T3,C2,
2.994104436,api/data/output/flower_0.5_c7777603-59ad-4e50-aa13-977ac750ac38@2024-04-01@PXL_20240214_173425086_80cm_F10_.jpg,PXL_20240214_173425086_80cm_F10_.jpg,F10,80cm,2.992,T4,C3,
3.809290248,api/data/output/flower_0.5_1562fcc5-fc45-40c2-a577-a017f48e3f72@2024-04-01@PXL_20240214_175608164_80cm_F22_.jpg,PXL_20240214_175608164_80cm_F22_.jpg,F22,80cm,3.329,T3,C2,Area is a little off
34.61468508,api/data/output/flower_0.5_80bcc933-f892-4808-9ec0-969237914426@2024-04-01@PXL_20240214_174424831_90cm_F14_.jpg,PXL_20240214_174424831_90cm_F14_.jpg,F14,90cm,32.593,T4,C3,
34.55635838,api/data/output/flower_0.5_00c8c527-4bad-4b92-a6de-d0c9904e7fab@2024-04-01@PXL_20240214_174325426_100cm_F14_.jpg,PXL_20240214_174325426_100cm_F14_.jpg,F14,100cm,29.705,T4,C3,Area is off
1.19033675,api/data/output/flower_0.5_4fc2a60a-dd71-4035-a3b7-d6936e7a1b66@2024-04-01@PXL_20240214_171937537_100cm_F3_.jpg,PXL_20240214_171937537_100cm_F3_.jpg,F3,100cm,1.07,T1,C1,
15.38816535,api/data/output/flower_0.5_490bac50-e35e-4a3e-afca-8e121a617b47@2024-04-01@PXL_20240214_172801012_80cm_F7_.jpg,PXL_20240214_172801012_80cm_F7_.jpg,F7,80cm,15.805,T3,C2,
0,api/data/output/flower_0.5_223e5659-cf94-409c-8f72-49335e9dac89@2024-04-01@PXL_20240214_173542045_100cm_F11_.jpg,PXL_20240214_173542045_100cm_F11_.jpg,F11,100cm,0.473,T5,C3,
11.69920612,api/data/output/flower_0.5_43d3bafa-52dd-4a12-87fa-2dd52c393e91@2024-04-01@PXL_20240214_174810162_60cm_F16_.jpg,PXL_20240214_174810162_60cm_F16_.jpg,F16,60cm,11.036,T3,C2,Area is a little off
6.986127865,api/data/output/flower_0.5_2509a842-4fac-47c2-9c40-bce371205840@2024-04-01@PXL_20240214_171827242_100cm_F2_.jpg,PXL_20240214_171827242_100cm_F2_.jpg,F2,80cm,6.998,T1,C1,Mistaken for 100cm
0,api/data/output/flower_0.5_856d2152-155b-4105-b960-f4b6a2cb125d@2024-04-01@PXL_20240214_173058624_100cm_F8_.jpg,PXL_20240214_173058624_100cm_F8_.jpg,F8,100cm,1.19,T1,C1,
10.90512048,api/data/output/flower_0.5_76dac957-c59c-4bdf-853b-e2261312fcf7@2024-04-01@PXL_20240214_173256770_60cm_F9_.jpg,PXL_20240214_173256770_60cm_F9_.jpg,F9,60cm,10.065,T3,C2,Area is a little off
4.997167139,api/data/output/flower_0.5_8dee250c-e6e8-42b6-91b8-7963500b70bc@2024-04-01@PXL_20240214_175022538_80cm_F18_.jpg,PXL_20240214_175022538_80cm_F18_.jpg,F18,80cm,4.866,T2,C2,
0.9393849793,api/data/output/flower_0.5_3df3f748-29e4-4b62-a877-f24c67f35097@2024-04-01@PXL_20240214_173112853_80cm_F8_.jpg,PXL_20240214_173112853_80cm_F8_.jpg,F8,80cm,1.19,T1,C1,
0,api/data/output/flower_0.5_fa7acb1e-7b6e-4dc7-b6e4-2c595e33d3f0@2024-04-01@PXL_20240214_173605233_60cm_F11_.jpg,PXL_20240214_173605233_60cm_F11_.jpg,F11,60cm,0.486,T5,C3,
1.102040816,api/data/output/flower_0.5_0edfb442-493c-42b4-8da4-5a56bf2a4f19@2024-04-01@PXL_20240214_173124719_60cm_F8_.jpg,PXL_20240214_173124719_60cm_F8_.jpg,F8,60cm,1.35,T1,C1,
42.51418645,api/data/output/flower_0.5_3d3dec9c-113a-4f34-a07c-9fee6cee0b1a@2024-04-01@PXL_20240214_174440129_80cm_F14_.jpg,PXL_20240214_174440129_80cm_F14_.jpg,F14,80cm,38.249,T4,C3,Area is off
15.73770492,api/data/output/flower_0.5_0a231ea7-ee6f-46bf-9c3a-af08375a0ea5@2024-04-01@PXL_20240214_173951011_90cm_F13_.jpg,PXL_20240214_173951011_90cm_F13_.jpg,F13,90cm,15.583,T4,C3,
15.44805195,api/data/output/flower_0.5_a9394871-ecd9-443d-90e8-cc1ea1388bc1@2024-04-01@PXL_20240214_172851466_80cm_F7_.jpg,PXL_20240214_172851466_80cm_F7_.jpg,F7,80cm,14.207,T3,C2,Area is off
4.30108055,api/data/output/flower_0.5_5e7145c3-512e-42c0-a359-bab5c022c976@2024-04-01@PXL_20240214_175112414_100cm_F19_.jpg,PXL_20240214_175112414_100cm_F19_.jpg,F19,100cm,4.449,T2,C2,
8.136929461,api/data/output/flower_0.5_659b3ef0-ef97-4f4a-8694-9484fc4f2d37@2024-04-01@PXL_20240214_173235450_100cm_F9_.jpg,PXL_20240214_173235450_100cm_F9_.jpg,F9,100cm,7.904,T3,C2,
17.2214959,api/data/output/flower_0.5_d4bc96ca-dc02-430b-abed-6621d29834a0@2024-04-01@PXL_20240214_172844073_60cm_F7_.jpg,PXL_20240214_172844073_60cm_F7_.jpg,F7,60cm,16.569,T3,C2,Area is a little off
8.37,api/data/output/flower_0.5_fb2cf6cf-c4a3-42cb-9d11-2da8ac9bc369@2024-04-01@PXL_20240214_172104621_100cm_F4_.jpg,PXL_20240214_172104621_100cm_F4_.jpg,F4,100cm,7.823,T2,C2,Area is off
11.72960932,api/data/output/flower_0.5_bbeb228e-1a9e-4aab-916b-935af2dc7860@2024-04-01@PXL_20240214_172542241_60cm_F6_.jpg,PXL_20240214_172542241_60cm_F6_.jpg,F6,60cm,12.191,T1,C1,
45.76476236,api/data/output/flower_0.5_af5a31af-1722-43d7-bb34-8f8b0d608270@2024-04-01@PXL_20240214_174540998_90cm_F15_.jpg,PXL_20240214_174540998_90cm_F15_.jpg,F15,90cm,43.717,T4,C3,
0,api/data/output/flower_0.5_485612e2-761e-4edb-a4b1-478d25d16980@2024-04-01@PXL_20240214_173743909_80cm_F12_.jpg,PXL_20240214_173743909_80cm_F12_.jpg,F12,80cm,0.605,T4,C3,
22.07281979,api/data/output/flower_0.5_52ed102b-efa2-4fb4-8093-81112c66ab1e@2024-04-01@PXL_20240214_175256173_60cm_F20_.jpg,PXL_20240214_175256173_60cm_F20_.jpg,F20,60cm,21.465,T3,C2,
14.98162328,api/data/output/flower_0.5_35624e39-82fb-4589-a0aa-c72897f75e80@2024-04-01@PXL_20240214_175233333_100cm_F20_.jpg,PXL_20240214_175233333_100cm_F20_.jpg,F20,100cm,15.104,T3,C2,
4.346266094,api/data/output/flower_0.5_ab40a906-e069-4ee9-8e2b-90f773b50af8@2024-04-01@PXL_20240214_175618723_60cm_F22_.jpg,PXL_20240214_175618723_60cm_F22_.jpg,F22,60cm,3.709,T3,C2,Area is a little off
2.299889135,api/data/output/flower_0.5_f76ff0b1-2154-4ba4-8aa5-9ca7389eb38b@2024-04-01@PXL_20240214_174906125_80cm_F17_.jpg,PXL_20240214_174906125_80cm_F17_.jpg,F17,80cm,2.365,T2,C2,
18.83305785,api/data/output/flower_0.5_5079ba94-4400-4d83-8a28-c5a37567313c@2024-04-01@PXL_20240214_175242905_80cm_F20_.jpg,PXL_20240214_175242905_80cm_F20_.jpg,F20,80cm,17.847,T3,C2,Area is off
6.721778791,api/data/output/flower_0.5_cc9eb739-4973-4a67-aca3-6a643a3ffafe@2024-04-01@PXL_20240214_171837365_60cm_F2_.jpg,PXL_20240214_171837365_60cm_F2_.jpg,F2,60cm,8.91,T1,C1,Area is off
41.43649676,api/data/output/flower_0.5_01e17bf6-cf04-43b1-a093-47e14a55f51f@2024-04-01@PXL_20240214_174443010_80cm_F14_.jpg,PXL_20240214_174443010_80cm_F14_.jpg,F14,80cm,38.679,T4,C3,Area is off
1.268529769,api/data/output/flower_0.5_3e7ed6f4-0cc0-4908-a7a3-a60c4335e24e@2024-04-01@PXL_20240214_171953310_80cm_F3_.jpg,PXL_20240214_171953310_80cm_F3_.jpg,F3,80cm,1.217,T1,C1,
3.009569378,api/data/output/flower_0.5_415adffb-cb5e-4100-a6e2-7030d64e6d3e@2024-04-01@PXL_20240214_173410846_100cm_F10_.jpg,PXL_20240214_173410846_100cm_F10_.jpg,F10,100cm,2.542,T4,C3,
2.674180328,api/data/output/flower_0.5_ffd1495a-8bed-45b3-9d65-8e3953aeec67@2024-04-01@PXL_20240214_172351335_100cm_F5_.jpg,PXL_20240214_172351335_100cm_F5_.jpg,F5,100cm,2.602,T1,C1,
9.733239038,api/data/output/flower_0.5_04c6ceba-4d1b-4889-b211-711e93e46947@2024-04-01@PXL_20240214_173246124_80cm_F9_.jpg,PXL_20240214_173246124_80cm_F9_.jpg,F9,80cm,9.159,T3,C2,
7.49332146,api/data/output/flower_0.5_13f612ba-74f5-4aef-94ef-5bbc8fbf6ee7@2024-04-01@PXL_20240214_171724834_60cm_F1_.jpg,PXL_20240214_171724834_60cm_F1_.jpg,F1,60cm,7.626,T1,C1,
3.640293917,api/data/output/flower_0.5_f7d52baf-0d37-4eaf-aebc-03f76da5f67c@2024-04-01@PXL_20240214_175447286_60cm_F21_.jpg,PXL_20240214_175447286_60cm_F21_.jpg,F21,60cm,3.375,T2,C2,
3.454140695,api/data/output/flower_0.5_1e4fe485-c68a-4246-bf5a-510ec9dfcab7@2024-04-01@PXL_20240214_175542573_100cm_F22_.jpg,PXL_20240214_175542573_100cm_F22_.jpg,F22,100cm,3.63,T3,C2,
18.73275069,api/data/output/flower_0.5_6f2f9ab8-b1a8-4789-9437-0218c0c75295@2024-04-01@PXL_20240214_172835282_60cm_F7_.jpg,PXL_20240214_172835282_60cm_F7_.jpg,F7,60cm,17.574,T3,C2,Area is off
38.13618677,api/data/output/flower_0.5_a4d6526b-17e2-4054-8cde-2f8bc71b5063@2024-04-01@PXL_20240214_174605604_80cm_F15_.jpg,PXL_20240214_174605604_80cm_F15_.jpg,F15,80cm,55.251,T4,C3,Area way off
0,api/data/output/flower_0.5_04b15026-8dfb-4b42-8651-1c2c8e75976c@2024-04-01@PXL_20240214_173800905_60cm_F12_.jpg,PXL_20240214_173800905_60cm_F12_.jpg,F12,60cm,0.856,T4,C3,
5.843430657,api/data/output/flower_0.5_494a7ca3-959c-42eb-800e-28e62203d6c6@2024-04-01@PXL_20240214_175143253_60cm_F19_.jpg,PXL_20240214_175143253_60cm_F19_.jpg,F19,60cm,5.411,T2,C2,
5.877161056,api/data/output/flower_0.5_cb348ab8-bc3f-4d61-a3f6-595481c08272@2024-04-01@PXL_20240214_171717068_80cm_F1_.jpg,PXL_20240214_171717068_80cm_F1_.jpg,F1,80cm,5.994,T1,C1,
2.91955836,api/data/output/flower_0.5_d0383b81-418c-4927-b587-1f208f401fbb@2024-04-01@PXL_20240214_174916372_60cm_F17_.jpg,PXL_20240214_174916372_60cm_F17_.jpg,F17,60cm,2.744,T2,C2,
3.874343776,api/data/output/flower_0.5_559f7d2f-064e-4ed9-ae71-b6f922184cf8@2024-04-01@PXL_20240214_173433388_60cm_F10_.jpg,PXL_20240214_173433388_60cm_F10_.jpg,F10,60cm,3.819,T4,C3,
10.25809152,api/data/output/flower_0.5_5bd02ba9-8de3-40a2-a892-8c2e09236693@2024-04-01@PXL_20240214_174751371_80cm_F16_.jpg,PXL_20240214_174751371_80cm_F16_.jpg,F16,80cm,9.697,T3,C2,Area is a little off
3.875374193,api/data/output/flower_0.5_eb645214-f3c8-4a27-ae11-34b3b1dd8dc1@2024-04-01@PXL_20240214_172404427_60cm_F5_.jpg,PXL_20240214_172404427_60cm_F5_.jpg,F5,60cm,3.904,T1,C1,
14.38090646,api/data/output/flower_0.5_1f7e49d8-f9a9-473e-aaea-420840f86f42@2024-04-01@PXL_20240214_172735080_100cm_F7_.jpg,PXL_20240214_172735080_100cm_F7_.jpg,F7,100cm,13.876,T3,C2,Area is a little off
3.034972988,api/data/output/flower_0.5_1aa400a0-3178-49b4-82cd-ea8483700602@2024-04-01@PXL_20240214_172357833_80cm_F5_.jpg,PXL_20240214_172357833_80cm_F5_.jpg,F5,80cm,2.921,T1,C1,
0.7198084767,api/data/output/flower_0.5_629349c5-ffec-410c-9693-f8fbffe98a86@2024-04-01@PXL_20240214_173607901_60cm_F11_.jpg,PXL_20240214_173607901_60cm_F11_.jpg,F11,60cm,0.548,T5,C3,Area is a little off
7.094366197,api/data/output/flower_0.5_ffa1b75c-3eb7-4b8c-9235-1fec47643396@2024-04-01@PXL_20240214_174741393_100cm_F16_.jpg,PXL_20240214_174741393_100cm_F16_.jpg,F16,100cm,8.464,T3,C2,Area is off
7.470417633,api/data/output/flower_0.5_db0aae70-5cdf-4a39-83b5-db3e0479e77f@2024-04-01@PXL_20240214_172516412_100cm_F6_.jpg,PXL_20240214_172516412_100cm_F6_.jpg,F6,100cm,6.5,T1,C1,Area is off
7.310644678,api/data/output/flower_0.5_f3c4b556-64b0-470b-b22a-24f5626d180c@2024-04-01@PXL_20240214_172119010_100cm_F4_.jpg,PXL_20240214_172119010_100cm_F4_.jpg,F4,100cm,8.377,T2,C2,Area is off
